datetime,count,workingday
2011-06-05 12:00:00,335,0
2011-06-05 13:00:00,367,0
2011-06-05 14:00:00,385,0
2011-06-05 15:00:00,417,0
2011-06-05 16:00:00,398,0
2011-06-05 17:00:00,390,0
2011-06-05 18:00:00,363,0
2011-06-05 19:00:00,357,0
2011-06-05 20:00:00,279,0
2011-06-05 21:00:00,165,0
2011-06-05 22:00:00,130,0
2011-06-05 23:00:00,86,0
2011-06-06 00:00:00,29,1
2011-06-06 01:00:00,14,1
2011-06-06 02:00:00,8,1
2011-06-06 03:00:00,5,1
2011-06-06 04:00:00,8,1
2011-06-06 05:00:00,31,1
2011-06-06 06:00:00,112,1
2011-06-06 07:00:00,299,1
2011-06-06 08:00:00,438,1
2011-06-06 09:00:00,188,1
2011-06-06 10:00:00,95,1
2011-06-06 11:00:00,111,1
2011-06-06 12:00:00,153,1
2011-06-06 13:00:00,180,1
2011-06-06 14:00:00,145,1
2011-06-06 15:00:00,165,1
2011-06-06 16:00:00,267,1
2011-06-06 17:00:00,579,1
2011-06-06 18:00:00,556,1
2011-06-06 19:00:00,407,1
2011-06-06 20:00:00,336,1
2011-06-06 21:00:00,189,1
2011-06-06 22:00:00,173,1
2011-06-06 23:00:00,60,1
2011-06-07 00:00:00,20,1
2011-06-07 01:00:00,4,1
2011-06-07 02:00:00,5,1
2011-06-07 03:00:00,2,1
2011-06-07 04:00:00,5,1
2011-06-07 05:00:00,32,1
2011-06-07 06:00:00,126,1
2011-06-07 07:00:00,334,1
2011-06-07 08:00:00,477,1
2011-06-07 09:00:00,217,1
2011-06-07 10:00:00,123,1
2011-06-07 11:00:00,151,1
2011-06-07 12:00:00,183,1
2011-06-07 13:00:00,196,1
2011-06-07 14:00:00,146,1
2011-06-07 15:00:00,183,1
2011-06-07 16:00:00,308,1
2011-06-07 17:00:00,539,1
2011-06-07 18:00:00,551,1
2011-06-07 19:00:00,424,1
2011-06-07 20:00:00,346,1
2011-06-07 21:00:00,218,1
2011-06-07 22:00:00,153,1
2011-06-07 23:00:00,90,1
2011-06-08 00:00:00,41,1
2011-06-08 01:00:00,23,1
2011-06-08 02:00:00,7,1
2011-06-08 03:00:00,3,1
2011-06-08 04:00:00,6,1
2011-06-08 05:00:00,21,1
2011-06-08 06:00:00,116,1
2011-06-08 07:00:00,353,1
2011-06-08 08:00:00,481,1
2011-06-08 09:00:00,202,1
2011-06-08 10:00:00,90,1
2011-06-08 11:00:00,134,1
2011-06-08 12:00:00,149,1
2011-06-08 13:00:00,136,1
2011-06-08 14:00:00,155,1
2011-06-08 15:00:00,128,1
2011-06-08 16:00:00,233,1
2011-06-08 17:00:00,506,1
2011-06-08 18:00:00,459,1
2011-06-08 19:00:00,384,1
2011-06-08 20:00:00,280,1
2011-06-08 21:00:00,202,1
2011-06-08 22:00:00,176,1
2011-06-08 23:00:00,116,1
2011-06-09 00:00:00,47,1
2011-06-09 01:00:00,16,1
2011-06-09 02:00:00,6,1
2011-06-09 03:00:00,2,1
2011-06-09 04:00:00,6,1
2011-06-09 05:00:00,20,1
2011-06-09 06:00:00,118,1
2011-06-09 07:00:00,314,1
2011-06-09 08:00:00,432,1
2011-06-09 09:00:00,168,1
2011-06-09 10:00:00,94,1
2011-06-09 11:00:00,118,1
2011-06-09 12:00:00,140,1
2011-06-09 13:00:00,136,1
2011-06-09 14:00:00,118,1
2011-06-09 15:00:00,104,1
2011-06-09 16:00:00,200,1
2011-06-09 17:00:00,409,1
2011-06-09 18:00:00,466,1
2011-06-09 19:00:00,326,1
2011-06-09 20:00:00,254,1
2011-06-09 21:00:00,171,1
2011-06-09 22:00:00,153,1
2011-06-09 23:00:00,97,1
2011-06-10 00:00:00,69,1
2011-06-10 01:00:00,23,1
2011-06-10 02:00:00,13,1
2011-06-10 03:00:00,6,1
2011-06-10 04:00:00,4,1
2011-06-10 05:00:00,28,1
2011-06-10 06:00:00,104,1
2011-06-10 07:00:00,267,1
2011-06-10 08:00:00,452,1
2011-06-10 09:00:00,213,1
2011-06-10 10:00:00,111,1
2011-06-10 11:00:00,153,1
2011-06-10 12:00:00,207,1
2011-06-10 13:00:00,189,1
2011-06-10 14:00:00,165,1
2011-06-10 15:00:00,212,1
2011-06-10 16:00:00,285,1
2011-06-10 17:00:00,517,1
2011-06-10 18:00:00,463,1
2011-06-10 19:00:00,306,1
2011-06-10 20:00:00,250,1
2011-06-10 21:00:00,218,1
2011-06-10 22:00:00,185,1
2011-06-10 23:00:00,146,1
2011-06-11 00:00:00,117,0
2011-06-11 01:00:00,77,0
2011-06-11 02:00:00,60,0
2011-06-11 03:00:00,28,0
2011-06-11 04:00:00,13,0
2011-06-11 05:00:00,16,0
2011-06-11 06:00:00,40,0
2011-06-11 07:00:00,68,0
2011-06-11 08:00:00,143,0
2011-06-11 09:00:00,230,0
2011-06-11 10:00:00,264,0
2011-06-11 11:00:00,325,0
2011-06-11 12:00:00,347,0
2011-06-11 13:00:00,387,0
2011-06-11 14:00:00,380,0
2011-06-11 15:00:00,374,0
2011-06-11 16:00:00,394,0
2011-06-11 17:00:00,337,0
2011-06-11 18:00:00,286,0
2011-06-11 19:00:00,264,0
2011-06-11 20:00:00,275,0
2011-06-11 21:00:00,220,0
2011-06-11 22:00:00,190,0
2011-06-11 23:00:00,131,0
2011-06-12 00:00:00,119,0
2011-06-12 01:00:00,93,0
2011-06-12 02:00:00,66,0
2011-06-12 03:00:00,28,0
2011-06-12 04:00:00,14,0
2011-06-12 05:00:00,10,0
2011-06-12 06:00:00,14,0
2011-06-12 07:00:00,34,0
2011-06-12 08:00:00,92,0
2011-06-12 09:00:00,182,0
2011-06-12 10:00:00,311,0
2011-06-12 11:00:00,367,0
2011-06-12 12:00:00,420,0
2011-06-12 13:00:00,373,0
2011-06-12 14:00:00,315,0
2011-06-12 15:00:00,360,0
2011-06-12 16:00:00,350,0
2011-06-12 17:00:00,252,0
2011-06-12 18:00:00,256,0
2011-06-12 19:00:00,223,0
2011-06-12 20:00:00,206,0
2011-06-12 21:00:00,140,0
2011-06-12 22:00:00,128,0
2011-06-12 23:00:00,107,0
2011-06-13 00:00:00,28,1
2011-06-13 01:00:00,16,1
2011-06-13 02:00:00,10,1
2011-06-13 03:00:00,7,1
2011-06-13 04:00:00,4,1
2011-06-13 05:00:00,29,1
2011-06-13 06:00:00,105,1
2011-06-13 07:00:00,328,1
2011-06-13 08:00:00,476,1
2011-06-13 09:00:00,224,1
2011-06-13 10:00:00,118,1
2011-06-13 11:00:00,159,1
2011-06-13 12:00:00,196,1
2011-06-13 13:00:00,227,1
2011-06-13 14:00:00,200,1
2011-06-13 15:00:00,185,1
2011-06-13 16:00:00,326,1
2011-06-13 17:00:00,601,1
2011-06-13 18:00:00,586,1
2011-06-13 19:00:00,423,1
2011-06-13 20:00:00,331,1
2011-06-13 21:00:00,218,1
2011-06-13 22:00:00,134,1
2011-06-13 23:00:00,89,1
2011-06-14 00:00:00,31,1
2011-06-14 01:00:00,13,1
2011-06-14 02:00:00,10,1
2011-06-14 03:00:00,2,1
2011-06-14 04:00:00,3,1
2011-06-14 05:00:00,26,1
2011-06-14 06:00:00,113,1
2011-06-14 07:00:00,365,1
2011-06-14 08:00:00,486,1
2011-06-14 09:00:00,193,1
2011-06-14 10:00:00,130,1
2011-06-14 11:00:00,143,1
2011-06-14 12:00:00,169,1
2011-06-14 13:00:00,209,1
2011-06-14 14:00:00,159,1
2011-06-14 15:00:00,178,1
2011-06-14 16:00:00,330,1
2011-06-14 17:00:00,569,1
2011-06-14 18:00:00,538,1
2011-06-14 19:00:00,386,1
2011-06-14 20:00:00,297,1
2011-06-14 21:00:00,243,1
2011-06-14 22:00:00,188,1
2011-06-14 23:00:00,110,1
2011-06-15 00:00:00,52,1
2011-06-15 01:00:00,14,1
2011-06-15 02:00:00,9,1
2011-06-15 03:00:00,1,1
2011-06-15 04:00:00,4,1
2011-06-15 05:00:00,21,1
2011-06-15 06:00:00,121,1
2011-06-15 07:00:00,370,1
2011-06-15 08:00:00,498,1
2011-06-15 09:00:00,207,1
2011-06-15 10:00:00,135,1
2011-06-15 11:00:00,164,1
2011-06-15 12:00:00,211,1
2011-06-15 13:00:00,189,1
2011-06-15 14:00:00,178,1
2011-06-15 15:00:00,164,1
2011-06-15 16:00:00,312,1
2011-06-15 17:00:00,638,1
2011-06-15 18:00:00,607,1
2011-06-15 19:00:00,416,1
2011-06-15 20:00:00,330,1
2011-06-15 21:00:00,257,1
2011-06-15 22:00:00,175,1
2011-06-15 23:00:00,107,1
2011-06-16 00:00:00,47,1
2011-06-16 01:00:00,17,1
2011-06-16 02:00:00,5,1
2011-06-16 03:00:00,4,1
2011-06-16 04:00:00,6,1
2011-06-16 05:00:00,25,1
2011-06-16 06:00:00,112,1
2011-06-16 07:00:00,188,1
2011-06-16 08:00:00,388,1
2011-06-16 09:00:00,261,1
2011-06-16 10:00:00,121,1
2011-06-16 11:00:00,150,1
2011-06-16 12:00:00,206,1
2011-06-16 13:00:00,151,1
2011-06-16 14:00:00,153,1
2011-06-16 15:00:00,159,1
2011-06-16 16:00:00,294,1
2011-06-16 17:00:00,272,1
2011-06-16 18:00:00,325,1
2011-06-16 19:00:00,327,1
2011-06-16 20:00:00,201,1
2011-06-16 21:00:00,188,1
2011-06-16 22:00:00,151,1
2011-06-16 23:00:00,16,1
2011-06-17 00:00:00,24,1
2011-06-17 01:00:00,23,1
2011-06-17 02:00:00,13,1
2011-06-17 03:00:00,6,1
2011-06-17 04:00:00,6,1
2011-06-17 05:00:00,13,1
2011-06-17 06:00:00,97,1
2011-06-17 07:00:00,250,1
2011-06-17 08:00:00,454,1
2011-06-17 09:00:00,224,1
2011-06-17 10:00:00,170,1
2011-06-17 11:00:00,181,1
2011-06-17 12:00:00,243,1
2011-06-17 13:00:00,204,1
2011-06-17 14:00:00,215,1
2011-06-17 15:00:00,243,1
2011-06-17 16:00:00,355,1
2011-06-17 17:00:00,552,1
2011-06-17 18:00:00,450,1
2011-06-17 19:00:00,328,1
2011-06-17 20:00:00,232,1
2011-06-17 21:00:00,208,1
2011-06-17 22:00:00,175,1
2011-06-17 23:00:00,178,1
2011-06-18 00:00:00,104,0
2011-06-18 01:00:00,95,0
2011-06-18 02:00:00,53,0
2011-06-18 03:00:00,20,0
2011-06-18 04:00:00,5,0
2011-06-18 05:00:00,7,0
2011-06-18 06:00:00,27,0
2011-06-18 07:00:00,57,0
2011-06-18 08:00:00,131,0
2011-06-18 09:00:00,218,0
2011-06-18 10:00:00,244,0
2011-06-18 11:00:00,404,0
2011-06-18 12:00:00,420,0
2011-06-18 13:00:00,327,0
2011-06-18 14:00:00,334,0
2011-06-18 15:00:00,367,0
2011-06-18 16:00:00,468,0
2011-06-18 17:00:00,449,0
2011-06-18 18:00:00,381,0
2011-06-18 19:00:00,326,0
2011-06-18 20:00:00,188,0
2011-06-18 21:00:00,183,0
2011-06-18 22:00:00,161,0
2011-06-18 23:00:00,150,0
