date,value
1969-08-07,10382
1969-08-08,11302
1969-08-09,10092
1969-08-10,9106
1969-08-11,10706
1969-08-12,11138
1969-08-13,10802
1969-08-14,10726
1969-08-15,10910
1969-08-16,9772
1969-08-17,9124
1969-08-18,10650
1969-08-19,11410
1969-08-20,10918
1969-08-21,10184
1969-08-22,10586
1969-08-23,9660
1969-08-24,9084
1969-08-25,10586
1969-08-26,11082
1969-08-27,10638
1969-08-28,10616
1969-08-29,10714
1969-08-30,9708
1969-08-31,8986
1969-09-01,9012
1969-09-02,10686
1969-09-03,11044
1969-09-04,10506
1969-09-05,10610
1969-09-06,9710
1969-09-07,9196
1969-09-08,10508
1969-09-09,10598
1969-09-10,10450
1969-09-11,10408
1969-09-12,10752
1969-09-13,9534
1969-09-14,9204
1969-09-15,10728
1969-09-16,11142
1969-09-17,10864
1969-09-18,10876
1969-09-19,10832
1969-09-20,10040
1969-09-21,9368
1969-09-22,10970
1969-09-23,11300
1969-09-24,10898
1969-09-25,10840
1969-09-26,11154
1969-09-27,10170
1969-09-28,9198
1969-09-29,10708
1969-09-30,11138
1969-10-01,10910
1969-10-02,10656
1969-10-03,10922
1969-10-04,9710
1969-10-05,8972
1969-10-06,10318
1969-10-07,10654
1969-10-08,10510
1969-10-09,10710
1969-10-10,10748
1969-10-11,9566
1969-10-12,9014
1969-10-13,9996
1969-10-14,10618
1969-10-15,10120
1969-10-16,9918
1969-10-17,10338
1969-10-18,9172
1969-10-19,8586
1969-10-20,10148
1969-10-21,10674
1969-10-22,10300
1969-10-23,9814
1969-10-24,10010
1969-10-25,9258
1969-10-26,8864
1969-10-27,10372
1969-10-28,10640
1969-10-29,10104
1969-10-30,10110
1969-10-31,10144
1969-11-01,9342
1969-11-02,8904
1969-11-03,10338
1969-11-04,10772
1969-11-05,10020
1969-11-06,10240
1969-11-07,10660
1969-11-08,9678
1969-11-09,9022
1969-11-10,10342
1969-11-11,10878
1969-11-12,10324
1969-11-13,10100
1969-11-14,10396
1969-11-15,9298
1969-11-16,8660
1969-11-17,10286
1969-11-18,10698
1969-11-19,10260
1969-11-20,10258
1969-11-21,10168
1969-11-22,9438
1969-11-23,8866
1969-11-24,10462
1969-11-25,10864
1969-11-26,10074
1969-11-27,8248
1969-11-28,9948
1969-11-29,9332
1969-11-30,8966
1969-12-01,10648
1969-12-02,10736
1969-12-03,10300
1969-12-04,10254
1969-12-05,10428
1969-12-06,9420
1969-12-07,8740
1969-12-08,10646
1969-12-09,10730
1969-12-10,10348
1969-12-11,10300
1969-12-12,10758
1969-12-13,9602
1969-12-14,8762
1969-12-15,10898
1969-12-16,11022
1969-12-17,10646
1969-12-18,10426
1969-12-19,10912
1969-12-20,9822
1969-12-21,8864
1969-12-22,10492
1969-12-23,9856
1969-12-24,8978
1969-12-25,8284
1969-12-26,9910
1969-12-27,9304
1969-12-28,9004
1969-12-29,10980
1969-12-30,12232
1969-12-31,11122
1970-01-01,8372
1970-01-02,9234
1970-01-03,9162
1970-01-04,8620
1970-01-05,9852
1970-01-06,10202
1970-01-07,10020
1970-01-08,9756
1970-01-09,9844
1970-01-10,9270
1970-01-11,9158
1970-01-12,10474
1970-01-13,10580
1970-01-14,10244
1970-01-15,9946
1970-01-16,10276
1970-01-17,9598
1970-01-18,8948
1970-01-19,10124
1970-01-20,10524
1970-01-21,10096
1970-01-22,9686
1970-01-23,10202
1970-01-24,9470
1970-01-25,8792
1970-01-26,10160
1970-01-27,10602
1970-01-28,10188
1970-01-29,9816
1970-01-30,9912
1970-01-31,9012
1970-02-01,9042
1970-02-02,10542
1970-02-03,10712
1970-02-04,10086
1970-02-05,9766
1970-02-06,10220
1970-02-07,9562
1970-02-08,9016
1970-02-09,10226
1970-02-10,10620
1970-02-11,10288
1970-02-12,10058
1970-02-13,10110
1970-02-14,9558
1970-02-15,9136
1970-02-16,10260
1970-02-17,10676
1970-02-18,10472
1970-02-19,10072
1970-02-20,10544
1970-02-21,9314
1970-02-22,8986
1970-02-23,10168
1970-02-24,10782
1970-02-25,10574
1970-02-26,10408
1970-02-27,10264
1970-02-28,9720
1970-03-01,8882
1970-03-02,10170
1970-03-03,11306
1970-03-04,10600
1970-03-05,10258
1970-03-06,10504
1970-03-07,9460
1970-03-08,8926
1970-03-09,10340
1970-03-10,10744
1970-03-11,10410
1970-03-12,10180
1970-03-13,10140
1970-03-14,9450
1970-03-15,8596
1970-03-16,10058
1970-03-17,10694
1970-03-18,10278
1970-03-19,10100
1970-03-20,10206
1970-03-21,9390
1970-03-22,8784
1970-03-23,10334
1970-03-24,10556
1970-03-25,10148
1970-03-26,9886
1970-03-27,9792
1970-03-28,8764
1970-03-29,8314
1970-03-30,9766
1970-03-31,10172
1970-04-01,10002
1970-04-02,10134
1970-04-03,10116
1970-04-04,9234
1970-04-05,8522
1970-04-06,10052
1970-04-07,10474
1970-04-08,9950
1970-04-09,9898
1970-04-10,10072
1970-04-11,9040
1970-04-12,8214
1970-04-13,9470
1970-04-14,10100
1970-04-15,9824
1970-04-16,9668
1970-04-17,9706
1970-04-18,8786
1970-04-19,8174
1970-04-20,9574
1970-04-21,10098
1970-04-22,9714
1970-04-23,9518
1970-04-24,9860
1970-04-25,8824
1970-04-26,8278
1970-04-27,9910
1970-04-28,10300
1970-04-29,9728
1970-04-30,9684
1970-05-01,9946
1970-05-02,8740
1970-05-03,8036
1970-05-04,9752
1970-05-05,10136
1970-05-06,9712
1970-05-07,9632
1970-05-08,9836
1970-05-09,8996
1970-05-10,8428
1970-05-11,10080
1970-05-12,10436
1970-05-13,10026
1970-05-14,9812
1970-05-15,10214
1970-05-16,8946
1970-05-17,8030
1970-05-18,10022
1970-05-19,10436
1970-05-20,10044
1970-05-21,10244
1970-05-22,10362
1970-05-23,9424
1970-05-24,8718
1970-05-25,10076
1970-05-26,10598
1970-05-27,10034
1970-05-28,10040
1970-05-29,9984
1970-05-30,8868
1970-05-31,8388
1970-06-01,10124
1970-06-02,10882
1970-06-03,10270
1970-06-04,9964
1970-06-05,10060
1970-06-06,9516
1970-06-07,8500
1970-06-08,9946
1970-06-09,10764
1970-06-10,10330
1970-06-11,10518
1970-06-12,10774
1970-06-13,9212
1970-06-14,8614
1970-06-15,10216
1970-06-16,10878
1970-06-17,10610
1970-06-18,10520
1970-06-19,10390
1970-06-20,9600
1970-06-21,8568
1970-06-22,10352
1970-06-23,10678
1970-06-24,10644
1970-06-25,10326
1970-06-26,10622
1970-06-27,9672
1970-06-28,8728
1970-06-29,10506
1970-06-30,11378
1970-07-01,11108
1970-07-02,11234
1970-07-03,10516
1970-07-04,9380
1970-07-05,9020
1970-07-06,10518
1970-07-07,11292
1970-07-08,10896
1970-07-09,10716
1970-07-10,10862
1970-07-11,9690
1970-07-12,9184
1970-07-13,10568
1970-07-14,11828
1970-07-15,11078
1970-07-16,11048
1970-07-17,10938
1970-07-18,9966
1970-07-19,9520
1970-07-20,10982
1970-07-21,11448
1970-07-22,10682
1970-07-23,10844
1970-07-24,10956
1970-07-25,9866
1970-07-26,9466
1970-07-27,11052
1970-07-28,11858
1970-07-29,11354
1970-07-30,11056
1970-07-31,11300
1970-08-01,10416
1970-08-02,9282
1970-08-03,11180
1970-08-04,11180
1970-08-05,10872
1970-08-06,10836
1970-08-07,11022
1970-08-08,10232
1970-08-09,9458
1970-08-10,10846
1970-08-11,11566
1970-08-12,11484
1970-08-13,11060
1970-08-14,11538
1970-08-15,10236
1970-08-16,9616
1970-08-17,11032
1970-08-18,11648
1970-08-19,11134
1970-08-20,10868
1970-08-21,11050
1970-08-22,9958
1970-08-23,9274
1970-08-24,10456
1970-08-25,11384
1970-08-26,11306
1970-08-27,10664
1970-08-28,11004
1970-08-29,10042
1970-08-30,9392
1970-08-31,11078
1970-09-01,11350
1970-09-02,10936
1970-09-03,11088
1970-09-04,11366
1970-09-05,10216
1970-09-06,9486
1970-09-07,9564
1970-09-08,11310
1970-09-09,11860
1970-09-10,11654
1970-09-11,11592
1970-09-12,10218
1970-09-13,9544
1970-09-14,11304
1970-09-15,11904
1970-09-16,11704
1970-09-17,11472
1970-09-18,11546
1970-09-19,10492
1970-09-20,9976
1970-09-21,11614
1970-09-22,12466
1970-09-23,11798
1970-09-24,11448
1970-09-25,11916
1970-09-26,10404
1970-09-27,9816
1970-09-28,11340
1970-09-29,11564
1970-09-30,11244
1970-10-01,10782
1970-10-02,11210
1970-10-03,10492
1970-10-04,9372
1970-10-05,11048
1970-10-06,11582
1970-10-07,11020
1970-10-08,10772
1970-10-09,11196
1970-10-10,9790
1970-10-11,9214
1970-10-12,11016
1970-10-13,11236
1970-10-14,10882
1970-10-15,10644
1970-10-16,10704
1970-10-17,9490
1970-10-18,8924
1970-10-19,10500
1970-10-20,11138
1970-10-21,10716
1970-10-22,10478
1970-10-23,10654
1970-10-24,9598
1970-10-25,9266
1970-10-26,10616
1970-10-27,10956
1970-10-28,10262
1970-10-29,10122
1970-10-30,10614
1970-10-31,9592
1970-11-01,9070
1970-11-02,10568
1970-11-03,11146
1970-11-04,10622
1970-11-05,10454
1970-11-06,10722
1970-11-07,9460
1970-11-08,9132
1970-11-09,10562
1970-11-10,11328
1970-11-11,10612
1970-11-12,10704
1970-11-13,10850
1970-11-14,9828
1970-11-15,9282
1970-11-16,10690
1970-11-17,11182
1970-11-18,10914
1970-11-19,10828
1970-11-20,11126
1970-11-21,9926
1970-11-22,8926
1970-11-23,10940
1970-11-24,11152
1970-11-25,10542
1970-11-26,8712
1970-11-27,10038
1970-11-28,9670
1970-11-29,9190
1970-11-30,11126
1970-12-01,11328
1970-12-02,11180
1970-12-03,10368
1970-12-04,10872
1970-12-05,9610
1970-12-06,9272
1970-12-07,10720
1970-12-08,11220
1970-12-09,10708
1970-12-10,10756
1970-12-11,10704
1970-12-12,10040
1970-12-13,9204
1970-12-14,11070
1970-12-15,11884
1970-12-16,11586
1970-12-17,11234
1970-12-18,11708
1970-12-19,10518
1970-12-20,9322
1970-12-21,11372
1970-12-22,11008
1970-12-23,10070
1970-12-24,9120
1970-12-25,8490
1970-12-26,9366
1970-12-27,9314
1970-12-28,11640
1970-12-29,12448
1970-12-30,11932
1970-12-31,11210
1971-01-01,8848
1971-01-02,9226
1971-01-03,8798
1971-01-04,10044
1971-01-05,10538
1971-01-06,10146
1971-01-07,10030
1971-01-08,10486
1971-01-09,9280
1971-01-10,9116
1971-01-11,10824
1971-01-12,11064
1971-01-13,10664
1971-01-14,10364
1971-01-15,10874
1971-01-16,9590
1971-01-17,8806
1971-01-18,10974
1971-01-19,11020
1971-01-20,10598
1971-01-21,10492
1971-01-22,10730
1971-01-23,9802
1971-01-24,8994
1971-01-25,10558
1971-01-26,10996
1971-01-27,10442
1971-01-28,10392
1971-01-29,10274
1971-01-30,9772
1971-01-31,9064
1971-02-01,10410
1971-02-02,10804
1971-02-03,10296
1971-02-04,10170
1971-02-05,10868
1971-02-06,9478
1971-02-07,9038
1971-02-08,10266
1971-02-09,10778
1971-02-10,10354
1971-02-11,10372
1971-02-12,10786
1971-02-13,9314
1971-02-14,9068
1971-02-15,10056
1971-02-16,10514
1971-02-17,10442
1971-02-18,10228
1971-02-19,10472
1971-02-20,9502
1971-02-21,9194
1971-02-22,10752
1971-02-23,10782
1971-02-24,10532
1971-02-25,10402
1971-02-26,10738
1971-02-27,9586
1971-02-28,8810
1971-03-01,10280
1971-03-02,10398
1971-03-03,10634
1971-03-04,10326
1971-03-05,10452
1971-03-06,9460
1971-03-07,8744
1971-03-08,10156
1971-03-09,10766
1971-03-10,10470
1971-03-11,10300
1971-03-12,10474
1971-03-13,9408
1971-03-14,8838
1971-03-15,10348
1971-03-16,10438
1971-03-17,10234
1971-03-18,9798
1971-03-19,10476
1971-03-20,9164
1971-03-21,8688
1971-03-22,10142
1971-03-23,10340
1971-03-24,9808
1971-03-25,9954
1971-03-26,9870
1971-03-27,8796
1971-03-28,8672
1971-03-29,10220
1971-03-30,10416
1971-03-31,10224
1971-04-01,9756
1971-04-02,10266
1971-04-03,8876
1971-04-04,8334
1971-04-05,9982
1971-04-06,10442
1971-04-07,9746
1971-04-08,9762
1971-04-09,9756
1971-04-10,8662
1971-04-11,8090
1971-04-12,9706
1971-04-13,10296
1971-04-14,9944
1971-04-15,9610
1971-04-16,9934
1971-04-17,8914
1971-04-18,8180
1971-04-19,9918
1971-04-20,10272
1971-04-21,9948
1971-04-22,9712
1971-04-23,9784
1971-04-24,8838
1971-04-25,7984
1971-04-26,9956
1971-04-27,10472
1971-04-28,9664
1971-04-29,9712
1971-04-30,9752
1971-05-01,8826
1971-05-02,7910
1971-05-03,9372
1971-05-04,9840
1971-05-05,9310
1971-05-06,9156
1971-05-07,9754
1971-05-08,8610
1971-05-09,8258
1971-05-10,9636
1971-05-11,10000
1971-05-12,9718
1971-05-13,9402
1971-05-14,9654
1971-05-15,8424
1971-05-16,7932
1971-05-17,9796
1971-05-18,10342
1971-05-19,9818
1971-05-20,9568
1971-05-21,9480
1971-05-22,8380
1971-05-23,7822
1971-05-24,9798
1971-05-25,10234
1971-05-26,9622
1971-05-27,9552
1971-05-28,9776
1971-05-29,8592
1971-05-30,7884
1971-05-31,8424
1971-06-01,9912
1971-06-02,9826
1971-06-03,9932
1971-06-04,10328
1971-06-05,8944
1971-06-06,8362
1971-06-07,9780
1971-06-08,10032
1971-06-09,9832
1971-06-10,9424
1971-06-11,9814
1971-06-12,8824
1971-06-13,8096
1971-06-14,9810
1971-06-15,9938
1971-06-16,9750
1971-06-17,9388
1971-06-18,9944
1971-06-19,8702
1971-06-20,8194
1971-06-21,9720
1971-06-22,10122
1971-06-23,9600
1971-06-24,9684
1971-06-25,10286
1971-06-26,8936
1971-06-27,8050
1971-06-28,9986
1971-06-29,10132
1971-06-30,10126
1971-07-01,10130
1971-07-02,10014
1971-07-03,8696
1971-07-04,8126
1971-07-05,8646
1971-07-06,10180
1971-07-07,10542
1971-07-08,10176
1971-07-09,10496
1971-07-10,9160
1971-07-11,8474
1971-07-12,9928
1971-07-13,10506
1971-07-14,10494
1971-07-15,10064
1971-07-16,10550
1971-07-17,9424
1971-07-18,8608
1971-07-19,9974
1971-07-20,10460
1971-07-21,10414
1971-07-22,10264
1971-07-23,10540
1971-07-24,9454
1971-07-25,8650
1971-07-26,10256
1971-07-27,10786
1971-07-28,10330
1971-07-29,10274
1971-07-30,10572
1971-07-31,9308
1971-08-01,8574
1971-08-02,10324
1971-08-03,10940
1971-08-04,10532
1971-08-05,9980
1971-08-06,10258
1971-08-07,9448
1971-08-08,9104
1971-08-09,10336
1971-08-10,11164
1971-08-11,10846
1971-08-12,10282
1971-08-13,10368
1971-08-14,9620
1971-08-15,8836
1971-08-16,10178
1971-08-17,10626
1971-08-18,10442
1971-08-19,10386
1971-08-20,10870
1971-08-21,9654
1971-08-22,8866
1971-08-23,10398
1971-08-24,10704
1971-08-25,10334
1971-08-26,10544
1971-08-27,10394
1971-08-28,9524
1971-08-29,8720
1971-08-30,10068
1971-08-31,10766
1971-09-01,10416
1971-09-02,10218
1971-09-03,10788
1971-09-04,9566
1971-09-05,8852
1971-09-06,9252
1971-09-07,10854
1971-09-08,10988
1971-09-09,10982
1971-09-10,10910
1971-09-11,9542
1971-09-12,8916
1971-09-13,10582
1971-09-14,11034
1971-09-15,10716
1971-09-16,10780
1971-09-17,11004
1971-09-18,9882
1971-09-19,9110
1971-09-20,10702
1971-09-21,11064
1971-09-22,10586
1971-09-23,10708
1971-09-24,10862
1971-09-25,9584
1971-09-26,9380
1971-09-27,10786
1971-09-28,11472
1971-09-29,10990
1971-09-30,10908
1971-10-01,10922
1971-10-02,9606
1971-10-03,8800
1971-10-04,10606
1971-10-05,10874
1971-10-06,10344
1971-10-07,10292
1971-10-08,10396
1971-10-09,9070
1971-10-10,9060
1971-10-11,10266
1971-10-12,10530
1971-10-13,10210
1971-10-14,10186
1971-10-15,10180
1971-10-16,9150
1971-10-17,8504
1971-10-18,10198
1971-10-19,10490
1971-10-20,9870
1971-10-21,9990
1971-10-22,10042
1971-10-23,8732
1971-10-24,8416
1971-10-25,9566
1971-10-26,10054
1971-10-27,9896
1971-10-28,9802
1971-10-29,9922
1971-10-30,8614
1971-10-31,8616
1971-11-01,9636
1971-11-02,9966
1971-11-03,9794
1971-11-04,9516
1971-11-05,9862
1971-11-06,8700
1971-11-07,8232
1971-11-08,9740
1971-11-09,10166
1971-11-10,9690
1971-11-11,9560
1971-11-12,10108
1971-11-13,8848
1971-11-14,8358
1971-11-15,9860
1971-11-16,10138
1971-11-17,9726
1971-11-18,9838
1971-11-19,10136
1971-11-20,8932
1971-11-21,8286
1971-11-22,9894
1971-11-23,10132
1971-11-24,9586
1971-11-25,7566
1971-11-26,9142
1971-11-27,8562
1971-11-28,8240
1971-11-29,9748
1971-11-30,9766
1971-12-01,9634
1971-12-02,9166
1971-12-03,9292
1971-12-04,8792
1971-12-05,8254
1971-12-06,9732
1971-12-07,10026
1971-12-08,9564
1971-12-09,9526
1971-12-10,9878
1971-12-11,8588
1971-12-12,8102
1971-12-13,9502
1971-12-14,10186
1971-12-15,9886
1971-12-16,9770
1971-12-17,9936
1971-12-18,8522
1971-12-19,7952
1971-12-20,10102
1971-12-21,10306
1971-12-22,9018
1971-12-23,8266
1971-12-24,7826
1971-12-25,7240
1971-12-26,7620
1971-12-27,9692
1971-12-28,10494
1971-12-29,10180
1971-12-30,10156
1971-12-31,9174
1972-01-01,7693
1972-01-02,7795
1972-01-03,8936
1972-01-04,9241
1972-01-05,8952
1972-01-06,8738
1972-01-07,9330
1972-01-08,8242
1972-01-09,7911
1972-01-10,9347
1972-01-11,9788
1972-01-12,9312
1972-01-13,9285
1972-01-14,9622
1972-01-15,8035
1972-01-16,7664
1972-01-17,9422
1972-01-18,9872
1972-01-19,9426
1972-01-20,9341
1972-01-21,9368
1972-01-22,8810
1972-01-23,8148
1972-01-24,9646
1972-01-25,9778
1972-01-26,9156
1972-01-27,9056
1972-01-28,9177
1972-01-29,8232
1972-01-30,7926
1972-01-31,9271
1972-02-01,9663
1972-02-02,9370
1972-02-03,9227
1972-02-04,9359
1972-02-05,8323
1972-02-06,7965
1972-02-07,9295
1972-02-08,9598
1972-02-09,9000
1972-02-10,8945
1972-02-11,9357
1972-02-12,8571
1972-02-13,8009
1972-02-14,9864
1972-02-15,9667
1972-02-16,9574
1972-02-17,9425
1972-02-18,9652
1972-02-19,8350
1972-02-20,7936
1972-02-21,8807
1972-02-22,9715
1972-02-23,9357
1972-02-24,9239
1972-02-25,9495
1972-02-26,8601
1972-02-27,7591
1972-02-28,9297
1972-02-29,9582
1972-03-01,9621
1972-03-02,9275
1972-03-03,9605
1972-03-04,8424
1972-03-05,7720
1972-03-06,9126
1972-03-07,9482
1972-03-08,9231
1972-03-09,8905
1972-03-10,9110
1972-03-11,8243
1972-03-12,7865
1972-03-13,9267
1972-03-14,9593
1972-03-15,9246
1972-03-16,9046
1972-03-17,9489
1972-03-18,8076
1972-03-19,7658
1972-03-20,8805
1972-03-21,9060
1972-03-22,8921
1972-03-23,8878
1972-03-24,8893
1972-03-25,7926
1972-03-26,7549
1972-03-27,9083
1972-03-28,9267
1972-03-29,8881
1972-03-30,8644
1972-03-31,8740
1972-04-01,7558
1972-04-02,7359
1972-04-03,8704
1972-04-04,9321
1972-04-05,8887
1972-04-06,8971
1972-04-07,8970
1972-04-08,7891
1972-04-09,7535
1972-04-10,8698
1972-04-11,9180
1972-04-12,8967
1972-04-13,8987
1972-04-14,9192
1972-04-15,8107
1972-04-16,7565
1972-04-17,8859
1972-04-18,9301
1972-04-19,8827
1972-04-20,8828
1972-04-21,8719
1972-04-22,7833
1972-04-23,7335
1972-04-24,8906
1972-04-25,9313
1972-04-26,8644
1972-04-27,8719
1972-04-28,8852
1972-04-29,7807
1972-04-30,7212
1972-05-01,9045
1972-05-02,9333
1972-05-03,9100
1972-05-04,8754
1972-05-05,8919
1972-05-06,7789
1972-05-07,7607
1972-05-08,8976
1972-05-09,9274
1972-05-10,8908
1972-05-11,8746
1972-05-12,9080
1972-05-13,8026
1972-05-14,7529
1972-05-15,9059
1972-05-16,9373
1972-05-17,9107
1972-05-18,8809
1972-05-19,9016
1972-05-20,8032
1972-05-21,7368
1972-05-22,9248
1972-05-23,9655
1972-05-24,9146
1972-05-25,9293
1972-05-26,8986
1972-05-27,7975
1972-05-28,7607
1972-05-29,7852
1972-05-30,9202
1972-05-31,9451
1972-06-01,9177
1972-06-02,8857
1972-06-03,8075
1972-06-04,7587
1972-06-05,8727
1972-06-06,9273
1972-06-07,9083
1972-06-08,8764
1972-06-09,9117
1972-06-10,8135
1972-06-11,7338
1972-06-12,8697
1972-06-13,9204
1972-06-14,8860
1972-06-15,8931
1972-06-16,9198
1972-06-17,7780
1972-06-18,7438
1972-06-19,8850
1972-06-20,9169
1972-06-21,8832
1972-06-22,8539
1972-06-23,8787
1972-06-24,7905
1972-06-25,7587
1972-06-26,9199
1972-06-27,9415
1972-06-28,9275
1972-06-29,9215
1972-06-30,9179
1972-07-01,8493
1972-07-02,7725
1972-07-03,8752
1972-07-04,8093
1972-07-05,8920
1972-07-06,9253
1972-07-07,9510
1972-07-08,8622
1972-07-09,7656
1972-07-10,9262
1972-07-11,9635
1972-07-12,9738
1972-07-13,9390
1972-07-14,9657
1972-07-15,8746
1972-07-16,7968
1972-07-17,9534
1972-07-18,9719
1972-07-19,9235
1972-07-20,9548
1972-07-21,9664
1972-07-22,8595
1972-07-23,7954
1972-07-24,9485
1972-07-25,9662
1972-07-26,9146
1972-07-27,9493
1972-07-28,9506
1972-07-29,8441
1972-07-30,7710
1972-07-31,9140
1972-08-01,9836
1972-08-02,9380
1972-08-03,9300
1972-08-04,9492
1972-08-05,8509
1972-08-06,7962
1972-08-07,9290
1972-08-08,10055
1972-08-09,9481
1972-08-10,9386
1972-08-11,9330
1972-08-12,8708
1972-08-13,8065
1972-08-14,9539
1972-08-15,10129
1972-08-16,9698
1972-08-17,9602
1972-08-18,9798
1972-08-19,8620
1972-08-20,8287
1972-08-21,9669
1972-08-22,10160
1972-08-23,9494
1972-08-24,9410
1972-08-25,9716
1972-08-26,8718
1972-08-27,8022
1972-08-28,9744
1972-08-29,10034
1972-08-30,9583
1972-08-31,9529
1972-09-01,9543
1972-09-02,8408
1972-09-03,8067
1972-09-04,8194
1972-09-05,9660
1972-09-06,9819
1972-09-07,9824
1972-09-08,10143
1972-09-09,8826
1972-09-10,8233
1972-09-11,9771
1972-09-12,10019
1972-09-13,9794
1972-09-14,10035
1972-09-15,10279
1972-09-16,9201
1972-09-17,8539
1972-09-18,9905
1972-09-19,10073
1972-09-20,9922
1972-09-21,9724
1972-09-22,9782
1972-09-23,8777
1972-09-24,8455
1972-09-25,9835
1972-09-26,10153
1972-09-27,9912
1972-09-28,9594
1972-09-29,9676
1972-09-30,8851
1972-10-01,7982
1972-10-02,9631
1972-10-03,9520
1972-10-04,9523
1972-10-05,9443
1972-10-06,9729
1972-10-07,8409
1972-10-08,7904
1972-10-09,9155
1972-10-10,9766
1972-10-11,9160
1972-10-12,9496
1972-10-13,9283
1972-10-14,8226
1972-10-15,7884
1972-10-16,9104
1972-10-17,9403
1972-10-18,9057
1972-10-19,9007
1972-10-20,9124
1972-10-21,7980
1972-10-22,7705
1972-10-23,8991
1972-10-24,9348
1972-10-25,9052
1972-10-26,8839
1972-10-27,9030
1972-10-28,7995
1972-10-29,7907
1972-10-30,8934
